,index,file_index,ObjectId,Flags,trackedByStationaryModel,mobile,motionModelValidated,ObjectAge,Timestamp,ObjectPredAge,Classification,ClassCertainty,ClassAge,ObjBoxCenter_X,ObjBoxCenter_Y,ObjBoxCenterSigma_X,ObjBoxCenterSigma_Y,ObjBoxSize_X,ObjBoxSize_Y,ObjCourseAngle,ObjCourseAngleSigma,ObjBoxOrientation,ObjBoxOrientationSigma,RelVelocity_X,RelVelocity_Y,RelVelocitySigma_X,RelVelocitySigma_Y,AbsVelocity_X,AbsVelocity_Y,AbsVelocitySigma_X,AbsVelocitySigma_Y,RefPointLocation,RefPointCoords_X,RefPointCoords_Y,RefPointCoordsSigma_X,RefPointCoordsSigma_Y,RefPointPosCorrCoeffs,ObjPriority,ObjExtMeasurement,EgoLatitude,EgoLongitude,EgoAltitude,EgoHeadingRad,EgoPosTimestamp,GPSFixStatus,csv_name,ObjPrediction,Object_X,Object_Y,uniqueId,origin,destination,relative_destination,AbsVelocity,distance,distance_to_exit,relative_x,relative_y,relative_angle
24,9857,3108932,21,384,False,True,1,75,1496306763.858937,0,5,64,1256,9.520380000000001,-12.4646,0.10916700000000001,0.0832977,2.93506,1.18646,3.13733,0.0613322,3.13733,0.0613322,-5.15,0.0,0.40373200000000004,0.315023,-5.13588,0.013691499999999999,0.40373200000000004,0.315023,2,8.05539,-11.8651,0.10916700000000001,0.0832977,0.0248062,65535,0.4,-33.899,151.111,18.314,5.38325,1496306763.884669,Good,split_20170601-stationary-3-leith-croydon_01.csv,False,9.520380000000001,-12.4646,26,south,east,right,5.135898249729277,-10.481220110557295,-42.38575282344889,-4.6646,-14.520380000000001,-0.00426265358979272
186,5047,1071933,23,384,False,True,1,204,1496306255.3191671,0,5,97,7592,-19.0013,-14.0402,0.118568,0.103951,3.0542,1.53883,-3.14141,0.0620008,-3.14141,0.0620008,-5.67,0.0,0.46118000000000003,0.351337,-5.66666,-0.00105025,0.46118000000000003,0.351337,3,-17.4743,-13.2705,0.118568,0.103951,-0.00353255,65535,1.0,-33.899,151.111,18.151,4.8987300000000005,1496306255.342817,Good,split_20170601-stationary-3-leith-croydon_01.csv,False,-19.0013,-14.0402,30,south,north,straight,5.666660097325855,18.398502210015064,-5.408310497700771,-6.2402000000000015,14.0013,0.00018265358979263624
89,9386,2081434,55,384,False,True,1,97,1496306501.2934759,0,5,68,3251,1.40806,-12.209000000000001,0.088287,0.0468711,4.1334,0.8592790000000001,-3.04788,0.017627,-3.04788,0.017627,-0.05,0.0,0.294532,0.0277054,-0.0487563,-0.00458237,0.294532,0.0277054,3,3.42549,-11.5879,0.088287,0.0468711,0.0755026,65535,1.0,-33.899,151.111,17.18,5.13625,1496306501.309024,Good,split_20170601-stationary-3-leith-croydon_01.csv,False,1.40806,-12.209000000000001,109,south,north,straight,0.04897116401012845,-3.3419635609996012,-27.224128590168306,-4.409000000000002,-6.40806,0.09371265358979297
36,13572,3137355,64,384,False,True,1,128,1496306770.6982212,3,5,95,2851,-30.7139,-5.06619,0.155346,0.14821900000000002,0.45434300000000005,1.4343299999999999,-0.00500435,0.0693856,-0.00500435,0.0693856,6.81,0.0,0.5237229999999999,0.47309399999999996,6.81787,-0.0330469,0.5237229999999999,0.47309399999999996,1,-30.4831,-4.350169999999999,0.155346,0.14821900000000002,-0.00474883,65535,0.18512,-33.899,151.111,18.451,5.3932199999999995,1496306770.726131,Good,split_20170601-stationary-3-leith-croydon_01.csv,True,-30.7139,-5.06619,134,north,east,left,6.81795009034971,-6.314229022961058,-13.892044702986574,-2.7338100000000005,-7.413899999999998,-0.005004350000000102
125,11050,3411607,67,384,False,True,1,136,1496306837.9376621,0,5,93,5056,-15.927,-14.3668,0.100444,0.0775908,3.6306599999999998,1.42699,-3.14026,0.043828,-3.14026,0.043828,-5.84,0.0,0.325129,0.25548200000000004,-5.829219999999999,-0.00780736,0.325129,0.25548200000000004,3,-14.1126,-13.6509,0.100444,0.0775908,0.0153965,65535,1.0,-33.899,151.111,20.362000000000002,5.45276,1496306837.957623,Good,split_20170601-stationary-3-leith-croydon_01.csv,False,-15.927,-14.3668,140,south,north,straight,5.829225228387574,15.295915519607073,-8.229697700507657,-6.566800000000001,10.927,0.0013326535897935088
8,10877,3424149,101,384,False,True,1,43,1496306841.131044,0,5,64,235,10.6109,-11.4093,0.129156,0.110621,3.85929,0.34665300000000004,-3.13741,0.0789029,-3.13741,0.0789029,-10.78,0.0,0.9808450000000001,0.848416,-10.7526,0.025668700000000003,0.9808450000000001,0.848416,2,8.68052,-11.244000000000002,0.129156,0.110621,0.00250549,65535,1.0,-33.899,151.111,20.479,5.45507,1496306841.16373,Good,split_20170601-stationary-3-leith-croydon_01.csv,False,10.6109,-11.4093,225,south,north,straight,10.752630638228009,-11.547441729071124,-35.01063180153183,-3.6092999999999993,-15.6109,0.004182653589793084
65,9003,2316926,109,384,False,True,1,97,1496306560.286799,0,5,97,2656,-22.0732,-14.0956,0.10713800000000001,0.119977,3.84199,1.65471,-3.14017,0.0388579,-3.14017,0.0388579,-14.32,0.0,0.357761,0.55598,-14.3081,-0.020323400000000002,0.357761,0.55598,3,-20.1534,-13.2655,0.10713800000000001,0.119977,-0.00190605,65535,1.0,-33.899,151.111,18.967,5.189,1496306560.3004222,Good,split_20170601-stationary-3-leith-croydon_01.csv,False,-22.0732,-14.0956,249,south,north,straight,14.308114433795515,21.494522132485415,-2.3379766847204664,-6.2956,17.0732,0.0014226535897936543
0,4921,1461523,132,320,True,False,1,6,1496306350.862769,0,1,24,194,8.8033,-12.3109,9.949869999999999,9.949869999999999,5.21541e-08,0.36218,1.01258,0.122173,1.01258,0.122173,0.0,0.0,9.949869999999999,9.949869999999999,0.0,0.0,9.949869999999999,9.949869999999999,9,8.8033,-12.3109,9.949869999999999,9.949869999999999,0.0,57344,1.0,-33.899,151.111,19.217,4.99245,1496306350.888912,Good,split_20170601-stationary-3-leith-croydon_01.csv,False,8.8033,-12.3109,310,south,north,straight,0.0,-16.44522455796897,-40.18582516396662,-4.5108999999999995,-13.8033,-2.1290126535897933
6,7187,1925288,144,384,False,True,1,153,1496306462.1712348,0,5,97,4649,-38.7103,-5.83226,0.0951948,0.12115699999999999,1.06945,1.39026,-0.000291119,0.0563507,-0.000291119,0.0563507,9.0,0.0,0.318945,0.5069899999999999,8.99705,-0.00213849,0.318945,0.5069899999999999,1,-38.1753,-5.13729,0.0951948,0.12115699999999999,0.00461196,65535,1.0,-33.899,151.111,17.373,5.102469999999999,1496306462.1966429,Good,split_20170601-stationary-3-leith-croydon_01.csv,False,-38.7103,-5.83226,338,north,east,left,8.997050254146604,-13.941669409598049,-19.531684189377515,-1.967740000000001,-15.410299999999996,-0.0002911189999998953
2,1934,692276,145,384,False,True,1,45,1496306162.00944,0,4,35,1375,13.3895,-11.3613,0.12487100000000001,0.0921969,2.60702,0.65084,-3.1412400000000003,0.0560986,-3.1412400000000003,0.0560986,-4.97,0.0,0.669024,0.278752,-4.96894,-0.0017612,0.669024,0.278752,2,12.0859,-11.0364,0.12487100000000001,0.0921969,-0.00454714,65535,1.0,-33.899,151.111,18.699,4.82301,1496306162.023203,Good,split_20170601-stationary-3-leith-croydon_01.csv,False,13.3895,-11.3613,344,south,east,right,4.968940312121433,-14.316965877137745,-46.356580959646415,-3.561299999999999,-18.389499999999998,0.00035265358979330585
